PROPOSED_ACTION|GROUP|GROUP_LABEL|DEBTOR_CODE|ERP_NAME|ERP_GROUP|ERP_REP|ERP_AREA|BOTTLES|NET_REV_ZAR|QUEUE_ROWS|PROPOSED_CANONICAL_NAME
CREATE_CANONICAL|PICARDI|Picardi Rebel chain store|PICARDI5|Picardi Rebel MainstreamCentre|Local - Chain Stores|Sergio King|Local - Western Cape|2760|179868|14|Picardi Rebel MainstreamCentre
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|TASTIN01|The Tasting Room Long|Local - Restaurants|Head Office|Local - Gauteng|1111|179651|86|The Tasting Room Long
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|PLAT0003|Platinum Distribution Centre|Local - Liquor Stores|Head Office|Local - Gauteng|648|172932|11|Platinum Distribution Centre
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|SAFAR001|Safari Wine Club|Local - Non-Trade|Maggie Colman|Local - Mpumalanga|1050|159134|72|Safari Wine Club
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|BOULE002|Boulevard Cellars Liquor Store|Local - Liquor Stores|Koliswa Jayiya|Local - Gauteng|450|158567|40|Boulevard Cellars Liquor Store
CREATE_CANONICAL|TOPS|Tops franchise location|TOPS0026|Tops Beacon Isle|Local - Liquor Stores|Jane Simon|Local - Garden Route / ECape|1356|150224|109|Tops Beacon Isle
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|MOOI0001|Mooiberge Winery|Local - Liquor Stores|Nathalie Watkins|Local - Western Cape|4043|132535|36|Mooiberge Winery
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|KOMA0001|SADF Wholesalers t/a Komati|Local - Distributors|Maggie Colman|Local - Mpumalanga|342|128332|9|SADF Wholesalers t/a Komati
CREATE_CANONICAL|ULTRA|Ultra Liquors chain store|ULTR0001|Ultra Liquors - Green Point|Local - Liquor Stores|Sergio King|Local - Western Cape|966|127527|80|Ultra Liquors - Green Point
CREATE_CANONICAL|TOPS|Tops franchise location|TOPS0010|Tops @ Village Square|Local - Liquor Stores|Jane Simon|Local - Garden Route / ECape|1080|123081|62|Tops @ Village Square
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|VINE0001|Vineyard Connection|Local - Liquor Stores|Nathalie Watkins|Local - Western Cape|780|121091|8|Vineyard Connection
CREATE_CANONICAL|TOPS|Tops franchise location|TOPSL001|Tops @ Lifestyle|Local - Liquor Stores|Kelsey KZN|Local - Kwazulu Natal|552|118975|50|Tops @ Lifestyle
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|RAVO0001|Ravo-Dek Landgoed cc|Local - Non-Trade|Head Office|Local - Gauteng|480|113393|18|Ravo-Dek Landgoed cc
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|LACO0002|La Cotte Inn Wine Sales|Local - Liquor Stores|Nathalie Watkins|Local - Western Cape|1187|111903|102|La Cotte Inn Wine Sales
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|FOUR0002|Four Seasons The Westcliff|Local - Hotels & Guest Houses|Sandile Yende|Local - Gauteng|769|109442|28|Four Seasons The Westcliff
CREATE_CANONICAL|TOPS|Tops franchise location|TOPSM001|Tops @ Malelane|Local - Chain Stores|Maggie Colman|Local - Mpumalanga|690|104802|85|Tops @ Malelane
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|DND00001|Durban North Liquors|Local - Distributors|Kelsey KZN|Local - Kwazulu Natal|118|103297|11|Durban North Liquors
CREATE_CANONICAL|LIQUOR_CITY|Liquor City franchise location|LIQU0036|Liquor City - Claremont|Local - Liquor Stores|Sergio King|Local - Western Cape|918|98803|45|Liquor City - Claremont
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|CULT0002|Cultigrain (Pty) Ltd|Local - Non-Trade|Head Office|Private clients - Western Cape|376|94401|162|Cultigrain (Pty) Ltd
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|LACOL001|La Colombe|Local - Restaurants|Sergio King|Local - Western Cape|180|89671|13|La Colombe
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|CAPE0005|Cape Grace|Local - Hotels & Guest Houses|Sergio King|Local - Western Cape|678|88708|46|Cape Grace
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|MARBLE01|Marble Restaurants SA (Pty)Ltd|Local - Restaurants|Sandile Yende|Local - Gauteng|240|88282|32|Marble Restaurants SA (Pty)Ltd
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|MOUN0001|Mount Nelson|Local - Hotels & Guest Houses|Sergio King|Local - Western Cape|690|85487|21|Mount Nelson
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|GENKI001|GENKI|Local - Restaurants|Nathalie Watkins|Local - Western Cape|1188|82705|76|GENKI
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|HOUGH001|Houghton Estate Boutique Hotel|Local - Hotels & Guest Houses|Head Office|Local - Gauteng|582|82281|64|Houghton Estate Boutique Hotel
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|URBIN001|Ur Bin Wine Cellar|Local - Liquor Stores|Jane Simon|Local - Garden Route / ECape|723|79467|71|Ur Bin Wine Cellar
CREATE_CANONICAL|SPAR_GROUP|Spar/Kwikspar/SuperSpar location|KWIKS001|Kwikspar Somerset & Tops|Local - Chain Stores|Nathalie Watkins|Local - Western Cape|918|79377|99|Kwikspar Somerset & Tops
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|CAMPF002|Rockwood Lodge (Pty) Ltd|Local - Hotels & Guest Houses|Nathalie Watkins|Local - Garden Route / ECape|864|78347|23|Rockwood Lodge (Pty) Ltd
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|BLACKHEA|t/a Blackheath Lodge|Local - Hotels & Guest Houses|Nathalie Watkins|Local - Western Cape|1044|76994|29|t/a Blackheath Lodge
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|INDUS001|Industrial Liquor Distributors|Local - Distributors|Maggie Colman|Local - Mpumalanga|540|76084|24|Industrial Liquor Distributors
CREATE_CANONICAL|SPAR_GROUP|Spar/Kwikspar/SuperSpar location|SPARW001|Spar Wilderness Village|Local - Chain Stores|Jane Simon|Local - Garden Route / ECape|868|74602|36|Spar Wilderness Village
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|HOUSE001|House of Liquor|Local - Liquor Stores|Koliswa Jayiya|Local - Gauteng|360|74549|34|House of Liquor
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|VASC0001|Vasco Distributors|Local - Non-Trade|Moya Fourie|Local - Gauteng|694|73837|27|Vasco Distributors
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|MALELA01|Malelane Super Spar|Local - Chain Stores|Mark le Roux|Local - Mpumalanga|480|71411|33|Malelane Super Spar
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|SILVER02|Silver Forest|Local - Hotels & Guest Houses|Nathalie Watkins|Local - Western Cape|792|70937|91|Silver Forest
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|BOOTHS01|Booths Liquor Store PTY LTD|Local - Liquor Stores|Kelsey KZN|Local - Kwazulu Natal|768|70333|32|Booths Liquor Store PTY LTD
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|VINE0002|The Vineyard Hotel & Spa|Local - Hotels & Guest Houses|Sergio King|Local - Western Cape|750|69641|33|The Vineyard Hotel & Spa
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|ROBB0003|Robberg The Store|Local - Liquor Stores|Jane Simon|Local - Garden Route / ECape|574|68886|31|Robberg The Store
CREATE_CANONICAL|PICARDI|Picardi Rebel chain store|PICA0003|Picardi Rebel Claremont|Local - Chain Stores|Nathalie Watkins|Local - Western Cape|930|68787|12|Picardi Rebel Claremont
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|CONST002|Constantia Wine & Craft|Local - Liquor Stores|Sergio King|Local - Western Cape|430|65671|39|Constantia Wine & Craft
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|CHAMP001|Champagne Castle Hotel|Local - Hotels & Guest Houses|Kelsey KZN|Local - Kwazulu Natal|834|64836|33|Champagne Castle Hotel
CREATE_CANONICAL|INDEPENDENT|Mano's Restaurant (distinct from Manoushe — confirmed separate)|MANO0004|Mano's Restaurant|Local - Restaurants|Sergio King|Local - Western Cape|654|62340|51|Mano's Restaurant
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|ASTA0001|Asta Italian Restaurant|Local - Restaurants|Nathalie Watkins|Local - Western Cape|487|61606|29|Asta Italian Restaurant
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|BOTT0002|Bottega Cafe|Local - Restaurants|Sandile Yende|Local - Gauteng|726|61309|80|Bottega Cafe
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|PARK0005|Parkmore Discount Liquors|Local - Liquor Stores|Koliswa Jayiya|Local - Gauteng|558|57245|14|Parkmore Discount Liquors
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|POT LUCK|The Pot Luck Club|Local - Restaurants|Sergio King|Local - Western Cape|162|55653|21|The Pot Luck Club
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|DROST001|Drostdy Hotel|Local - Hotels & Guest Houses|Head Office|Local - Western Cape|264|53536|8|Drostdy Hotel
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|LOND0001|Londolozi Game Reserve(Pty)Ltd|Local - Hotels & Guest Houses|Maggie Colman|Local - Mpumalanga|201|51065|23|Londolozi Game Reserve(Pty)Ltd
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|SHORT002|Shorties Discount Liquors CC|Local - Liquor Stores|Sergio King|Local - Western Cape|527|50684|34|Shorties Discount Liquors CC
CREATE_CANONICAL|LIQUOR_CITY|Liquor City franchise location|LIQU0008|Liquor City Broadacres|Local - Liquor Stores|Helena Pires|Local - Gauteng|305|50463|33|Liquor City Broadacres
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|VILLA003|Villa Afrikana Guest Suites CC|Local - Hotels & Guest Houses|Jane Simon|Local - Garden Route / ECape|606|50297|39|Villa Afrikana Guest Suites CC
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|CANOPY01|t/a Canopy by Hilton Cape Town|Local - Hotels & Guest Houses|Sergio King|Local - Western Cape|234|50220|30|t/a Canopy by Hilton Cape Town
CREATE_CANONICAL|TOPS|Tops franchise location|TOPS0046|Tops Crossing|Local - Liquor Stores|Maggie Colman|Local - Mpumalanga|223|50105|40|Tops Crossing
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|PEEC0001|The Peech Hotel (Pty) Ltd|Local - Hotels & Guest Houses|Koliswa Jayiya|Local - Gauteng|360|50029|31|The Peech Hotel (Pty) Ltd
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|WILDS001|The Wild Side Restaurant (Pty)|Local - Restaurants|Sandile Yende|Local - Gauteng|684|49219|73|The Wild Side Restaurant (Pty)
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|BARR0004|Barringtons at Plett (Pty) Ltd|Local - Restaurants|Jane Simon|Local - Garden Route / ECape|624|48420|41|Barringtons at Plett (Pty) Ltd
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|MIDSTREA|Midstream Super Spar & Tops|Local - Chain Stores|Moya Fourie|Local - Gauteng|202|47892|41|Midstream Super Spar & Tops
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|YUPPIE01|Yuppiechef Online (Pty) Ltd|Local - Non-Trade|Nathalie Watkins|Local - Western Cape|47|47252|36|Yuppiechef Online (Pty) Ltd
CREATE_CANONICAL|ULTRA|Ultra Liquors chain store|ULTR0005|Ultra Liquors - Wynberg|Local - Liquor Stores|Nathalie Watkins|Local - Western Cape|360|47025|48|Ultra Liquors - Wynberg
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|LOWVE001|Lowveld Living Guesthouse|Local - Hotels & Guest Houses|Maggie Colman|Local - Mpumalanga|92|45413|20|Lowveld Living Guesthouse
CREATE_CANONICAL|SPAR_GROUP|Spar/Kwikspar/SuperSpar location|SEDGE001|Sedgefield Superspar|Local - Liquor Stores|Jane Simon|Local - Garden Route / ECape|516|45285|40|Sedgefield Superspar
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|34SOUTH1|34 South The Market (Pty) Ltd|Local - Restaurants|Jane Simon|Local - Garden Route / ECape|132|44811|3|34 South The Market (Pty) Ltd
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|MODE0001|Model Bottle Store|Local - Liquor Stores|Koliswa Jayiya|Local - Gauteng|180|44275|1|Model Bottle Store
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|ROYA0002|Royal Malewane (Pty) Ltd|Local - Hotels & Guest Houses|Maggie Colman|Local - Mpumalanga|192|44030|13|Royal Malewane (Pty) Ltd
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|FATF0001|The Fat Fish|Local - Restaurants|Jane Simon|Local - Garden Route / ECape|450|43136|37|The Fat Fish
CREATE_CANONICAL|SPAR_GROUP|Spar/Kwikspar/SuperSpar location|HILT0003|Hilton Quarry SuperSpar|Local - Liquor Stores|Kelsey KZN|Local - Kwazulu Natal|410|43096|31|Hilton Quarry SuperSpar
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|ANDBEYON|And Beyond South Africa|Local - Hotels & Guest Houses|Maggie Colman|Local - Gauteng|432|42820|14|And Beyond South Africa
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|SPARCQ01|Cape Quarter Spar|Local - Chain Stores|Sergio King|Local - Western Cape|426|42318|51|Cape Quarter Spar
CREATE_CANONICAL|TOPS|Tops franchise location|TOPS0035|Heatherpark Tops|Local - Liquor Stores|Jane Simon|Local - Garden Route / ECape|372|41750|53|Heatherpark Tops
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|KARI0001|Karibu Restaurant|Local - Restaurants|Sergio King|Local - Western Cape|276|41442|11|Karibu Restaurant
CREATE_CANONICAL|ULTRA|Ultra Liquors chain store|ULTR0010|Ultra Liquors - Hazelwood|Local - Liquor Stores|Koliswa Jayiya|Local - Gauteng|366|41361|38|Ultra Liquors - Hazelwood
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|FORU0001|The Forum Company (Pty) Ltd|Local - Restaurants|Koliswa Jayiya|Local - Gauteng|542|40147|10|The Forum Company (Pty) Ltd
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|BUHA0001|Buhala Country Lodge|Local - Hotels & Guest Houses|Maggie Colman|Local - Mpumalanga|222|39495|17|Buhala Country Lodge
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|HARTF001|Hartford House Hotel|Local - Hotels & Guest Houses|Kelsey KZN|Local - Kwazulu Natal|180|39485|16|Hartford House Hotel
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|NGUN0001|t/a Nguni Restaurant|Local - Restaurants|Jane Simon|Local - Garden Route / ECape|174|38194|27|t/a Nguni Restaurant
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|CHEFS002|Chefs Warehouse Beau Constanti|Local - Restaurants|Sergio King|Local - Western Cape|144|37767|13|Chefs Warehouse Beau Constanti
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|STEF0001|Steffanie's Place|Local - Hotels & Guest Houses|Nathalie Watkins|Local - Western Cape|462|37342|32|Steffanie's Place
CREATE_CANONICAL|LIQUOR_CITY|Liquor City franchise location|LIQU0044|Liquor City Ballito Circle|Local - Liquor Stores|Kelsey KZN|Local - Kwazulu Natal|468|37173|16|Liquor City Ballito Circle
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|PORT0001|Port 2 Port (Pty) Ltd|Local - Distributors|Sergio King|Local - Western Cape|83|37054|21|Port 2 Port (Pty) Ltd
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|WIJN0001|Wijnhuis Stellenbosch|Local - Restaurants|Nathalie Watkins|Local - Western Cape|282|36961|26|Wijnhuis Stellenbosch
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|RHINO001|Rhino Ridge Safari Lodge|Local - Hotels & Guest Houses|Kelsey KZN|Local - Kwazulu Natal|468|36889|22|Rhino Ridge Safari Lodge
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|ST FRANC|St Francis Bay Liquorstore|Local - Liquor Stores|Jane Simon|Local - Garden Route / ECape|318|36788|21|St Francis Bay Liquorstore
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|PALAN001|Palanca Investments (Pty) Ltd|Local - Hotels & Guest Houses|Head Office|Local - Gauteng|211|36737|12|Palanca Investments (Pty) Ltd
CREATE_CANONICAL|LIQUOR_CITY|Liquor City franchise location|LIQCR001|Liquor City Ryngate cc|Local - Liquor Stores|Koliswa Jayiya|Local - Gauteng|6|36667|3|Liquor City Ryngate cc
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|SAXO0001|Saxon Hotel (PTY) LTD|Local - Hotels & Guest Houses|Sandile Yende|Local - Gauteng|180|36567|14|Saxon Hotel (PTY) LTD
CREATE_CANONICAL|TOPS|Tops franchise location|TOPS0029|Tops Hout Bay|Local - Liquor Stores|Sergio King|Local - Western Cape|360|36496|58|Tops Hout Bay
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|RFM00001|RFM Tailors - Tshepo Mashego|Local - Non-Trade|Koliswa Jayiya|Local - Gauteng|66|35800|11|RFM Tailors - Tshepo Mashego
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|LIBE0003|Liberty Liquors - SandileThusi|Local - Liquor Stores|Kelsey KZN|Local - Kwazulu Natal|270|35791|18|Liberty Liquors - SandileThusi
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|PINKM001|Pink Mama's Pty Ltd|Local - Restaurants|Sandile Yende|Local - Gauteng|113|34745|24|Pink Mama's Pty Ltd
CREATE_CANONICAL|TOPS|Tops franchise location|TOPS0053|Tops - Oakhurst|Local - Liquor Stores|Sergio King|Local - Western Cape|348|34590|50|Tops - Oakhurst
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|PIER0001|Pier & The Waterside Restauran|Local - Restaurants|Sergio King|Local - Western Cape|132|33870|7|Pier & The Waterside Restauran
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|CHAP0001|Chapman's Peak Wine & Spirits|Local - Liquor Stores|Sergio King|Local - Western Cape|217|33509|18|Chapman's Peak Wine & Spirits
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|MONTUS01|Montusi Mountain Lodge PTY Ltd|Local - Hotels & Guest Houses|Kelsey KZN|Local - Kwazulu Natal|258|33061|18|Montusi Mountain Lodge PTY Ltd
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|NOOP0001|Noop Restaurant|Local - Restaurants|Nathalie Watkins|Local - Western Cape|68|32918|15|Noop Restaurant
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|BRAHMAN1|BrahmanHills (Pty) Ltd|Local - Hotels & Guest Houses|Kelsey KZN|Local - Kwazulu Natal|186|32602|21|BrahmanHills (Pty) Ltd
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|THONGA01|Thonga Beach Lodge (Pty) Ltd|Local - Hotels & Guest Houses|Kelsey KZN|Local - Kwazulu Natal|294|31648|21|Thonga Beach Lodge (Pty) Ltd
CREATE_CANONICAL|LIQUOR_CITY|Liquor City franchise location|LIQC0061|Liquor City Key West|Local - Liquor Stores|Koliswa Jayiya|Local - Gauteng|174|31416|17|Liquor City Key West
CREATE_CANONICAL|ULTRA|Ultra Liquors chain store|ULTRA005|Ultra Liquors - Plettenberg|Local - Liquor Stores|Jane Simon|Local - Garden Route / ECape|312|31200|30|Ultra Liquors - Plettenberg
CREATE_CANONICAL|SPAR_GROUP|Spar/Kwikspar/SuperSpar location|KWIK SPA|Paul Roos Kwikspar|Local - Liquor Stores|Nathalie Watkins|Local - Western Cape|373|30823|59|Paul Roos Kwikspar
CREATE_CANONICAL|ULTRA|Ultra Liquors chain store|ULTRA009|Ultra Liquors - Umhlali|Local - Liquor Stores|Head Office|Local - Kwazulu Natal|378|30292|21|Ultra Liquors - Umhlali
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|RUST0001|Rust en Vrede|Local - Restaurants|Nathalie Watkins|Local - Western Cape|153|29847|8|Rust en Vrede
CREATE_CANONICAL|TOPS|Tops franchise location|TOPS0027|Tops Helderbosch 35665|Local - Liquor Stores|Nathalie Watkins|Local - Western Cape|330|29643|46|Tops Helderbosch 35665
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|CHORUS01|Chorus Restaurant|Local - Restaurants|Nathalie Watkins|Local - Western Cape|24|29568|5|Chorus Restaurant
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|WINEIN01|Wine in the Warehouse Pty Ltd|Local - Liquor Stores|Head Office|Local - Western Cape|161|28489|20|Wine in the Warehouse Pty Ltd
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|LOCO0001|Loco Liq Blairgowrie|Local - Liquor Stores|Helena Pires|Local - Gauteng|312|28119|24|Loco Liq Blairgowrie
CREATE_CANONICAL|TOPS|Tops franchise location|TOPSGR01|Tops Greendale|Local - Liquor Stores|Kelsey KZN|Local - Kwazulu Natal|294|28113|33|Tops Greendale
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|LOCO0005|Loco Liq Crowthorne|Local - Liquor Stores|Koliswa Jayiya|Local - Gauteng|54|28011|3|Loco Liq Crowthorne
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|FYN00001|Fyn Restaurant (Pty) Ltd|Local - Restaurants|Sergio King|Local - Western Cape|12|27974|1|Fyn Restaurant (Pty) Ltd
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|TANNIN01|Tannin|Local - Restaurants|Sergio King|Local - Western Cape|48|27834|4|Tannin
CREATE_CANONICAL|ULTRA|Ultra Liquors chain store|ULTRA008|Ultra Liquors - Somerset West|Local - Liquor Stores|Nathalie Watkins|Local - Western Cape|240|27484|39|Ultra Liquors - Somerset West
CREATE_CANONICAL|PRESTONS|Prestons Liquor chain (Garden Route)|PREST014|Prestons Liquor Beacon Bay|Local - Liquor Stores|Jane Simon|Local - Garden Route / ECape|138|27183|13|Prestons Liquor Beacon Bay
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|TEST0004|The Test Kitchen Fledgelings|Local - Restaurants|Sergio King|Local - Western Cape|126|27088|18|The Test Kitchen Fledgelings
CREATE_CANONICAL|LIQUOR_CITY|Liquor City franchise location|LIQU0013|Liquor City - Beyers Naude|Local - Liquor Stores|Koliswa Jayiya|Local - Gauteng|204|26813|20|Liquor City - Beyers Naude
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|MOZAM002|Mozambik Eden|Local - Restaurants|Sergio King|Local - Western Cape|90|26549|13|Mozambik Eden
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|MAGAL001|Magalies Liquor Wholesalers|Local - Liquor Stores|Koliswa Jayiya|Local - Gauteng|192|26532|12|Magalies Liquor Wholesalers
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|CBALI001|C-Bali Restaurant|Local - Restaurants|Kelsey KZN|Local - Kwazulu Natal|336|26318|24|C-Bali Restaurant
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|SALSI001|Salsify (Pty) Ltd|Local - Restaurants|Sergio King|Local - Western Cape|36|26203|5|Salsify (Pty) Ltd
CREATE_CANONICAL|LIQUOR_CITY|Liquor City franchise location|LIQU0043|Liquor City Menlyn Whisky Em-|Local - Liquor Stores|Koliswa Jayiya|Local - Gauteng|39|25931|14|Liquor City Menlyn Whisky Em-
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|DIEB0001|Die Boord Spar|Local - Chain Stores|Nathalie Watkins|Local - Western Cape|252|25815|42|Die Boord Spar
CREATE_CANONICAL|TOPS|Tops franchise location|TOPS0036|Sunrise Circle Tops 36027|Local - Liquor Stores|Sergio King|Local - Western Cape|282|25567|41|Sunrise Circle Tops 36027
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|LAPET001|La Petite Colombe (Pty) Ltd|Local - Restaurants|Nathalie Watkins|Local - Western Cape|24|25387|9|La Petite Colombe (Pty) Ltd
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|UTOPIA01|t/a Utopia|Local - Restaurants|Sergio King|Local - Western Cape|66|25101|11|t/a Utopia
